index,word,solution_count
601,аметист,13
602,амидопирин,43
603,аминазин,9
604,аминокислота,216
605,аммиак,3
606,аммонал,7
607,аммоний,7
608,аммофос,5
609,амнезия,12
610,амнистирование,311
611,амнистированная,230
612,амнистированный,236
613,амнистия,18
614,аморализм,36
615,аморальность,116
616,амортизатор,51
617,аморфность,77
618,ампер,4
619,амперметр,11
620,амплитуда,29
621,амплификация,57
622,ампула,9
623,ампутация,12
624,амулет,10
625,амуниция,6
626,амур,2
627,амфибрахий,19
628,амфитеатр,31
629,амфора,8
630,анабиоз,14
631,анаграмма,14
632,анаконда,14
633,анализ,7
634,анализатор,54
635,анализирование,126
636,аналитик,31
637,аналог,4
638,аналогия,15
639,аналой,2
640,анальгетик,91
641,анальгин,10
642,анамнез,7
643,ананас,1
644,анапест,17
645,анатом,8
646,анатомирование,171
647,анатомия,17
648,анафема,3
649,анафора,5
650,анахронизм,59
651,анахроничность,118
652,анаэроб,13
653,анаэробиоз,39
654,ангар,6
655,ангел,4
656,ангидрид,16
657,ангидрит,28
658,ангина,1
659,ангиома,12
660,англез,7
661,англиканизм,75
662,англиканство,270
663,англицизм,20
664,англичанин,16
665,англоман,18
666,англомания,51
667,англосакс,46
668,англосаксонец,124
669,англофил,23
670,англофильство,180
671,англофоб,16
672,англофобство,81
673,анголец,13
674,анголка,22
675,ангстрем,46
676,андезит,20
677,аневризма,51
678,анекдот,24
679,анемия,5
680,анемограф,59
681,анемометр,46
682,анемон,6
683,анемона,8
684,анемофилия,46
685,анероид,27
686,анестезин,29
687,анестезиолог,164
688,анестезиология,215
689,анестезия,32
690,анид,2
691,анилин,2
692,анимализм,21
693,анималист,33
694,анимизм,5
695,анимист,13
696,анион,2
697,анкер,10
698,анкерок,20
699,анкета,7
700,анкетирование,255
701,анкилоз,32
702,анкилостома,200
703,анклав,9
704,анналист,16
705,аннексионист,128
706,аннексирование,199
707,аннексия,13
708,аннотация,12
709,аннотирование,98
710,аннулирование,83
711,анод,3
712,анодирование,74
713,аномалия,17
714,аноним,6
715,анонимность,55
716,анонс,6
717,анонсирование,73
718,анормальность,127
719,анортит,18
720,анортозит,28
721,аносмия,16
722,анофелес,18
723,ансамбль,9
724,ант,0
725,антабка,10
726,антаблемент,30
727,антабус,17
728,антагонизм,69
729,антагонистичность,95
730,антенна,1
731,антибиотик,37
732,антивещество,86
733,антивитамин,20
734,антиген,11
735,антигриппин,34
736,антидарвинизм,103
737,антидепрессант,245
738,антидот,12
739,антиква,21
740,антиквар,67
741,антиквариат,93
742,антиклиналь,44
743,антикоагулянт,187
744,антикоммунизм,113
745,антикоммунист,162
746,антилопа,41
747,антимилитаризм,83
748,антимилитарист,95
749,антимир,17
750,антимонит,21
751,антинаучность,68
752,антинейтрон,55
753,антиномия,26
754,антиобледенитель,171
755,антиокислитель,256
756,антипассат,20
757,антипатичность,80
758,антипирин,20
759,антипод,19
760,антипротон,54
761,антиракета,93
762,антироман,58
763,антисанитария,53
764,антисемит,41
765,антисемитизм,67
766,антисемитка,118
767,антисептик,95
768,антисептика,125
769,антисептирование,500
770,антисоветизм,171
771,антисоветчик,218
772,антисоветчица,133
773,антистатик,31
774,антистрофа,100
775,антитезис,33
776,антитело,30
777,антитоксин,70
778,антифашист,29
779,антифашистка,69
780,антифон,20
781,антифриз,21
782,антициклон,62
783,антиципация,13
784,античастица,19
785,античность,36
786,антиэлектрон,208
787,антиядро,42
788,антология,33
789,антоним,18
790,антоновка,24
791,антономазия,43
792,антоциан,8
793,антракоз,63
794,антракт,31
795,антрацен,21
796,антрацит,20
797,антрекот,58
798,антрепренер,20
799,антрепренерство,210
800,антреприза,67
801,антресоль,98
802,антропогенез,112
803,антропоид,59
804,антрополог,69
805,антропология,144
806,антропометр,97
807,антропометрия,210
808,антропоморфизация,282
809,антропоморфизм,150
810,антропонимика,268
811,антропоноз,34
812,антропософия,144
813,антропофаг,78
814,антропофагия,152
815,антропоцентризм,318
816,антуриум,30
817,анурия,4
818,анфельция,27
819,анчар,4
820,анчоус,10
821,аншлаг,5
822,аншлюс,3
823,анэнцефалия,25
824,аорист,21
825,аорта,6
826,апартеид,27
827,апатит,1
828,апатичность,55
829,апатия,1
830,апеллирование,140
831,апелляция,13
832,апельсин,32
833,аперитив,20
834,апилак,12
835,аплодирование,204
836,апломб,6
837,апогей,2
838,апокалипсис,68
839,апокриф,17
840,аполитизм,40
841,аполитичность,123
842,аполлон,5
843,аполог,4
844,апологет,25
845,апологетика,123
846,апология,12
847,апостериорность,307
848,апостроф,45
849,апострофа,61
850,апофегма,4
851,апофеоз,3
852,апоцентр,44
853,аппаратура,15
854,аппаратчица,20
855,аппарель,13
856,аппендикс,43
857,аппендицит,24
858,апперкот,54
859,апперцепция,14
860,аппетит,3
861,аппетитность,83
862,аппликатура,97
863,аппрет,6
864,аппретирование,216
865,аппретура,27
866,апрель,9
867,априорность,122
868,апробация,13
869,апробирование,91
870,апрош,3
871,апсида,4
872,аптека,6
873,аптекарша,56
874,аптекарь,46
875,аптекоуправление,830
876,ар,0
877,араб,4
878,арабеск,35
879,арабизм,17
880,арабист,26
881,арабистика,76
882,арабка,16
883,арак,6
884,аракчеевщина,90
885,аралия,7
886,арамеец,6
887,арамей,7
888,арамейка,27
889,арапник,30
890,арат,2
891,араукария,14
892,арахис,3
893,арахнология,65
894,арба,4
895,арбалет,18
896,арбалетчик,108
897,арбитр,7
898,арбитраж,18
899,арболит,27
900,арборицид,11
901,арбуз,6
902,аргамак,16
903,аргентина,57
904,аргентинец,60
905,аргентинка,122
906,аргон,9
907,арготизм,45
908,аргументация,172
909,аргументирование,406
910,аргументированность,764
911,ареал,3
912,арека,9
913,арена,3
914,аренда,11
915,арендатор,44
916,арендование,88
917,ареометр,19
918,ареопаг,12
919,арест,5
920,арестованная,128
921,арестованный,145
922,ариетта,9
923,ариец,2
924,арийка,11
925,аристократ,103
926,аристократизм,218
927,аристократичность,343
928,аристократия,120
929,аристократка,129
930,аристон,40
931,аритмия,11
932,арифметика,60
933,арифмограф,33
934,арифмометр,50
935,ария,1
936,арк,2
937,арка,6
938,аркада,11
939,аркадия,18
940,аркан,11
941,аркатура,23
942,аркебуз,26
943,аркебуза,46
944,аркебузир,38
945,арлекинада,92
946,армада,5
947,арматурщик,46
948,арматурщица,26
949,армеец,3
950,армирование,55
951,армия,3
952,армяк,9
953,армянин,6
954,армянка,23
955,арника,16
956,аромат,15
957,ароматизатор,53
958,ароматизация,48
959,арсенал,11
960,артель,10
961,артериосклероз,256
962,артерия,7
963,артикль,28
964,артиллерист,53
965,артиллерия,25
966,артист,11
967,артистизм,27
968,артистичность,87
969,артистка,52
970,артишок,28
971,артналет,32
972,артобстрел,76
973,артподготовка,179
974,артрит,3
975,артроз,5
976,арфа,2
977,арфист,13
978,арфистка,56
979,архаизация,7
980,архаизирование,73
981,архаизм,12
982,архаика,9
983,архаист,18
984,архаистика,56
985,архаичность,96
986,архалук,19
987,архар,1
988,архаренок,38
989,археограф,19
990,археография,36
991,археолог,18
992,археология,39
993,археоптерикс,237
994,архетип,17
995,архив,3
996,архивариус,16
997,архивист,17
998,архивоведение,97
999,архивольт,57
1000,архивохранилище,86
1001,архидиакон,75
1002,архидьякон,70
1003,архиепископ,95
1004,архиерей,7
1005,архимандрит,66
1006,архипастырь,51
1007,архипелаг,29
1008,архитектоника,218
1009,архитектор,68
1010,архитектура,70
1011,архитрав,15
1012,архонт,16
1013,арча,1
1014,арчинец,10
1015,арчинка,27
1016,аршин,2
1017,арык,4
1018,арьергард,14
1019,асбест,3
1020,асбестит,15
1021,асбестоцемент,82
1022,асбоцемент,63
1023,асептика,39
1024,асессор,8
1025,асимметричность,290
1026,асимметрия,43
1027,аскарида,28
1028,аскаридоз,61
1029,аскер,7
1030,аспарагус,20
1031,аспект,19
1032,аспирант,51
1033,аспирантка,129
1034,аспирантура,97
1035,аспират,27
1036,аспиратор,67
1037,аспирация,14
1038,ассамблея,21
1039,ассенизатор,137
1040,ассенизация,20
1041,ассигнация,9
1042,ассигнование,64
1043,ассимилирование,193
1044,ассимилятор,88
1045,ассимиляторство,178
1046,ассимиляция,9
1047,ассириец,6
1048,ассирийка,25
1049,ассириолог,32
1050,ассириология,39
1051,ассириянин,6
1052,ассириянка,38
1053,ассистент,27
1054,ассистентура,118
1055,ассистирование,194
1056,ассонанс,9
1057,ассортимент,187
1058,ассоциативность,71
1059,астат,1
1060,астеник,36
1061,астения,19
1062,астеносфера,92
1063,астероид,53
1064,астигматизм,28
1065,астма,1
1066,астра,3
1067,астробиология,123
1068,астроботаника,286
1069,астрогеография,140
1070,астрограф,45
1071,астродатчик,158
1072,астродинамика,387
1073,астроклимат,214
1074,астрокомпас,182
1075,астролог,35
1076,астрология,72
1077,астролябия,64
1078,астрометрия,123
1079,астронавигация,221
1080,астронавт,66
1081,астронавтика,266
1082,астроном,51
1083,астрономия,102
1084,астроориентация,226
1085,астрофизик,93
1086,астрофизика,128
1087,астрофотография,126
1088,астрофотометр,95
1089,асфалия,8
1090,асфальт,7
1091,асфальтирование,427
1092,асфальтировщик,302
1093,асфальтировщица,165
1094,асфальтобетон,135
1095,асцит,2
1096,атавизм,7
1097,атака,1
1098,атаксия,11
1099,атаман,2
1100,атаманец,9
1101,атаманство,39
1102,атеизм,5
1103,атеист,8
1104,атеистка,30
1105,атеросклероз,178
1106,атипичность,50
1107,атлет,4
1108,атлетика,19
1109,атолл,2
1110,атом,3
1111,атомизм,12
1112,атомист,18
1113,атомоход,14
1114,атония,4
1115,атрибутивность,212
1116,атропин,29
1117,атрофия,15
1118,аттестат,6
1119,аттестация,19
1120,аттик,3
1121,аттракцион,102
1122,аудиенция,9
1123,аудитор,22
1124,аудитория,31
1125,аукцион,12
1126,аукционер,59
1127,аукционист,83
1128,аул,0
1129,аура,1
1130,аустерия,31
1131,аут,0
1132,аутентичность,105
1133,аутотренинг,107
1134,аутсайдер,46
1135,афалина,8
1136,афганка,4
1137,афелий,10
1138,афера,4
1139,аферист,24
1140,аферистка,92
1141,афиша,1
1142,афиширование,57
1143,афоризм,15
1144,афористичность,129
1145,африканер,39
1146,африканец,50
1147,африканист,108
1148,африканистика,131
1149,африканка,26
1150,аффект,2
1151,аффектация,13
1152,аффикс,3
1153,аффинаж,1
1154,аффриката,29
1155,ацетат,3
1156,ацетилен,20
1157,ацетон,5
1158,ацидофилин,25
1159,ацтек,1
1160,ашуг,2
1161,аэрарий,2
1162,аэрация,3
1163,аэроб,3
1164,аэробика,22
1165,аэробиоз,9
1166,аэробус,21
1167,аэровокзал,52
1168,аэрограф,12
1169,аэродинамика,117
1170,аэродром,12
1171,аэрозоль,8
1172,аэроклуб,36
1173,аэролог,8
1174,аэрология,22
1175,аэромеханика,126
1176,аэрон,2
1177,аэронавигация,67
1178,аэронавт,35
1179,аэронавтика,138
1180,аэроплан,18
1181,аэропорт,15
1182,аэростат,25
1183,аэростатика,104
1184,аэросъемка,55
1185,аэрофотоснимок,255
1186,аэрофотосъемка,191
1187,бабашка,1
1188,баббит,1
1189,бабуин,2
1190,бабуша,0
1191,баварец,13
1192,баварка,20
1193,багаж,0
1194,багажник,13
1195,баггист,8
1196,багермейстер,55
1197,багет,2
1198,багетчик,16
1199,багетчица,11
1200,багор,7
1201,багорик,24
1202,багорчик,32
1203,багорщик,27
1204,багрец,8
1205,багрильщик,38
1206,багровище,35
1207,багровость,75
1208,багрянец,23
1209,багряница,30
1210,багряность,88
1211,багульник,52
1212,бадан,3
1213,бадейка,8
1214,бадминтон,47
1215,бадминтонист,105
1216,бадья,2
1217,база,1
1218,базальт,6
1219,базар,7
1220,базилик,11
1221,базирование,85
1222,базис,2
1223,базука,6
1224,байбак,0
1225,байбачина,6
1226,байга,0
1227,байрам,10
1228,байронизм,43
1229,байство,9
1230,бакалавр,28
1231,бакалея,10
1232,бакаут,4
1233,бакенбарда,62
1234,бакенщик,8
1235,баклага,6
1236,баклажан,16
1237,баклан,9
1238,бактериолог,186
1239,бактериология,223
1240,бактерионоситель,775
1241,бактерионосительство,1391
1242,бактериофаг,151
1243,бактерицидность,585
1244,бактерия,36
1245,бакун,3
1246,бакунизм,28
1247,бакштаг,7
1248,бакштов,14
1249,бал,0
1250,балаган,2
1251,балалаечник,56
1252,балансер,24
1253,балансирование,193
1254,балансировка,236
1255,балансировщик,249
1256,балахон,9
1257,балдахин,21
1258,балерина,25
1259,балет,5
1260,балетка,12
1261,балетмейстер,60
1262,балетовед,36
1263,балетоман,51
1264,балетомания,110
1265,балетоманка,116
1266,балканистика,104
1267,балкар,18
1268,балкарец,32
1269,балкарка,22
1270,балкон,16
1271,баллада,3
1272,балластер,35
1273,балластировка,266
1274,баллиста,10
1275,баллистик,28
1276,баллистика,36
1277,баллистокардиография,620
1278,баллон,3
1279,баллотирование,229
1280,баллотировка,177
1281,балобан,4
1282,баловень,19
1283,баловство,21
1284,балок,7
1285,балык,2
1286,бальзам,8
1287,бальзамин,28
1288,бальзамирование,291
1289,бальнеолог,33
1290,бальнеология,73
1291,бальнеотерапия,320
1292,балюстрада,36
1293,балясина,17
1294,бамбук,5
1295,бампер,6
1296,банальность,48
1297,банан,0
1298,бананник,7
1299,банановоз,23
1300,банда,3
1301,бандаж,7
1302,бандерилья,61
1303,бандероль,60
1304,бандит,9
1305,бандитизм,20
1306,бандура,24
1307,бандурист,100
1308,бандуристка,265
1309,баниан,2
1310,банкетка,12
1311,банкнот,17
1312,банкнота,24
1313,банкомат,32
1314,банкомет,46
1315,банкрот,45
1316,банкротство,154
1317,банлон,5
1318,бант,1
1319,бантустан,24
1320,банчок,8
1321,банщик,3
1322,банщица,1
1323,баньян,1
1324,баня,0
1325,баобаб,0
1326,баптизм,5
1327,баптист,6
1328,баптистка,34
1329,барабанщица,11
1330,барабулька,38
1331,барак,14
1332,баранина,11
1333,баранка,23
1334,бараночник,79
1335,бараночница,30
1336,барахольщик,64
1337,барахтание,55
1338,барбамил,19
1339,барбарис,11
1340,барвинок,44
1341,баргузин,33
1342,бард,4
1343,бареж,4
1344,барекс,20
1345,барельеф,15
1346,баретка,37
1347,бареттер,8
1348,баржестроение,177
1349,барибал,10
1350,барий,3
1351,барин,3
1352,барисфера,24
1353,барит,6
1354,баритонист,91
1355,барк,5
1356,барка,14
1357,баркан,20
1358,баркарола,30
1359,баркас,21
1360,баркентина,120
1361,бармен,6
1362,барограф,20
1363,барокамера,52
1364,барометр,27
1365,барон,5
1366,баронесса,38
1367,баронет,31
1368,баронетство,148
1369,баронство,72
1370,баротерапия,68
1371,баротравма,45
1372,барочник,37
1373,барраж,7
1374,барражирование,71
1375,барракуда,36
1376,баррель,10
1377,баррикада,29
1378,барс,3
1379,барсенок,61
1380,барственность,189
1381,барство,36
1382,барсук,26
1383,барсучиха,34
1384,барсучонок,102
1385,бархан,8
1386,бархат,10
1387,бархатистость,101
1388,бархатка,32
1389,бархатность,94
1390,бархотка,54
1391,барщина,9
1392,барышня,5
1393,барьер,4
1394,барьерист,38
1395,барьеристка,125
1396,басенник,16
1397,баск,0
1398,баска,2
1399,баскак,4
1400,баскетбол,73
1401,баскетболист,150
1402,баскетболистка,198
1403,басконка,23
1404,басмач,4
1405,басмачество,50
1406,баснописец,44
1407,басня,3
1408,басовитость,31
1409,басон,7
1410,бассейн,4
1411,бастион,25
1412,бастурма,50
1413,басурман,39
1414,басурманка,93
1415,баталист,14
1416,баталия,6
1417,батальон,16
1418,батарейка,49
1419,батат,1
1420,батиаль,5
1421,батиплан,28
1422,батискаф,22
1423,батист,5
1424,батисфера,53
1425,батман,4
1426,батник,11
1427,батог,2
1428,батометр,32
1429,батон,4
1430,батрак,24
1431,батрачество,111
1432,батрачка,31
1433,батрачонок,104
1434,баттерфляй,38
1435,батут,4
1436,батыр,4
1437,батырь,6
1438,батюшка,6
1439,баул,3
1440,бахила,4
1441,бахрома,16
1442,бахта,1
1443,бахтарма,16
1444,бахча,0
1445,бахчевник,29
1446,бахчевод,14
1447,бахчеводство,66
1448,бацилла,4
1449,бациллоноситель,183
1450,башкир,11
1451,башкирец,24
1452,башлык,5
1453,башнер,5
1454,башня,1
1455,баюкание,9
1456,баянист,14
1457,баянистка,41
1458,бдение,0
1459,бдительность,111
1460,бег,0
1461,бегание,6
1462,бегемот,8
1463,беглец,4
1464,беглость,31
1465,беглянка,24
1466,бегония,10
1467,бегство,17
1468,бегун,2
1469,бегунья,3
1470,бедность,26
1471,беднота,17
1472,бедняк,4
1473,бедро,5
1474,бедственность,65
1475,бедствие,13
1476,бедуин,1
1477,бедуинка,19
1478,беженец,2
1479,беженство,30
1480,безаварийность,379
1481,безапелляционность,560
